city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Amsterdam,52.3676,4.9041,2026-03-18T00:00,10.2,28,21.9,26.1,30.8,2.5,238.0,0.0,0.0,0.0,0.0
Amsterdam,52.3676,4.9041,2026-03-18T01:00,9.4,28,24.1,27.9,29.3,2.5,229.0,0.0,0.0,0.0,0.0
Amsterdam,52.3676,4.9041,2026-03-18T02:00,9.1,29,21.7,25.2,28.3,2.1,226.0,0.0,0.0,0.0,0.0
Amsterdam,52.3676,4.9041,2026-03-18T03:00,8.9,30,22.2,25.2,29.1,2.0,225.0,0.0,0.0,0.0,0.0
Amsterdam,52.3676,4.9041,2026-03-18T04:00,8.5,30,23.2,27.0,29.0,2.0,229.0,0.0,0.0,0.0,0.0
Amsterdam,52.3676,4.9041,2026-03-18T05:00,8.2,31,22.3,27.4,27.1,2.0,242.0,0.0,0.0,0.0,0.0
Amsterdam,52.3676,4.9041,2026-03-18T06:00,8.2,32,22.4,28.2,27.1,2.0,247.0,0.0,0.0,0.0,0.0
Amsterdam,52.3676,4.9041,2026-03-18T07:00,8.9,33,23.1,28.3,25.9,2.0,257.0,0.0,0.0,0.0,57.0
Amsterdam,52.3676,4.9041,2026-03-18T08:00,9.8,33,18.3,20.6,18.6,1.9,231.0,0.0,0.0,0.0,188.0
Amsterdam,52.3676,4.9041,2026-03-18T09:00,10.8,34,15.7,18.0,14.4,1.7,219.0,0.0,0.0,0.0,341.0
Amsterdam,52.3676,4.9041,2026-03-18T10:00,12.2,34,13.7,16.7,11.9,1.6,204.0,0.0,0.0,0.0,437.0
Amsterdam,52.3676,4.9041,2026-03-18T11:00,13.4,35,12.2,16.1,10.8,1.4,200.0,0.0,0.0,0.0,556.0
Amsterdam,52.3676,4.9041,2026-03-18T12:00,13.8,37,11.1,14.1,9.4,1.4,189.0,0.0,0.0,0.0,597.0
Amsterdam,52.3676,4.9041,2026-03-18T13:00,14.4,39,9.6,13.7,10.0,1.7,182.0,0.0,0.0,0.0,578.0
Amsterdam,52.3676,4.9041,2026-03-18T14:00,15.0,41,9.2,13.4,11.5,1.7,188.0,0.0,0.0,0.0,540.0
Amsterdam,52.3676,4.9041,2026-03-18T15:00,15.1,39,9.1,12.6,13.6,1.4,197.0,0.0,0.0,0.0,419.0
Amsterdam,52.3676,4.9041,2026-03-18T16:00,15.0,36,9.9,13.3,18.3,1.6,227.0,0.0,0.0,0.0,282.0
Amsterdam,52.3676,4.9041,2026-03-18T17:00,14.9,34,11.1,15.4,30.5,2.2,292.0,0.0,0.0,0.0,153.0
Amsterdam,52.3676,4.9041,2026-03-18T18:00,13.1,34,13.3,18.2,41.5,3.2,321.0,0.0,0.0,0.0,26.0
Amsterdam,52.3676,4.9041,2026-03-18T19:00,12.0,34,13.1,17.3,35.0,1.6,265.0,0.0,0.0,0.0,0.0
Amsterdam,52.3676,4.9041,2026-03-18T20:00,11.6,33,13.0,16.3,27.3,1.1,232.0,0.0,0.0,0.0,0.0
Amsterdam,52.3676,4.9041,2026-03-18T21:00,10.9,33,13.2,17.0,25.0,0.9,227.0,0.0,0.0,0.0,0.0
Amsterdam,52.3676,4.9041,2026-03-18T22:00,10.5,33,13.9,17.7,24.0,0.8,226.0,0.0,0.0,0.0,0.0
