city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Lisbon,38.7169,-9.1399,2026-03-18T00:00,14.3,29,9.7,10.9,9.3,1.8,146.0,0.1,0.1,0.0,0.0
Lisbon,38.7169,-9.1399,2026-03-18T01:00,14.2,29,9.1,10.1,7.4,1.6,144.0,0.0,0.0,0.0,0.0
Lisbon,38.7169,-9.1399,2026-03-18T02:00,14.3,28,8.3,9.5,8.0,1.5,143.0,0.0,0.0,0.0,0.0
Lisbon,38.7169,-9.1399,2026-03-18T03:00,14.1,26,7.8,8.8,7.4,1.8,141.0,0.3,0.1,0.3,0.0
Lisbon,38.7169,-9.1399,2026-03-18T04:00,14.0,27,6.9,7.8,5.7,1.4,139.0,0.6,0.0,0.6,0.0
Lisbon,38.7169,-9.1399,2026-03-18T05:00,13.7,28,6.8,7.3,4.8,1.3,139.0,1.0,0.0,1.0,0.0
Lisbon,38.7169,-9.1399,2026-03-18T06:00,14.2,28,6.9,8.4,5.8,1.3,139.0,0.6,0.0,0.6,0.0
Lisbon,38.7169,-9.1399,2026-03-18T07:00,14.3,28,6.5,8.5,6.4,1.4,141.0,1.6,0.0,1.6,1.0
Lisbon,38.7169,-9.1399,2026-03-18T08:00,14.7,28,6.1,8.6,8.0,1.4,143.0,0.6,0.0,0.6,41.0
Lisbon,38.7169,-9.1399,2026-03-18T09:00,14.5,29,7.1,10.1,9.5,1.3,142.0,0.1,0.0,0.1,146.0
Lisbon,38.7169,-9.1399,2026-03-18T10:00,15.1,29,7.2,9.4,9.0,1.3,140.0,0.1,0.0,0.1,270.0
Lisbon,38.7169,-9.1399,2026-03-18T11:00,16.2,31,6.5,9.3,7.4,1.4,137.0,0.3,0.0,0.3,403.0
Lisbon,38.7169,-9.1399,2026-03-18T12:00,16.8,32,6.2,9.6,5.9,1.3,131.0,0.2,0.0,0.2,569.0
Lisbon,38.7169,-9.1399,2026-03-18T13:00,17.7,32,6.2,9.9,4.9,1.2,126.0,0.4,0.0,0.4,605.0
Lisbon,38.7169,-9.1399,2026-03-18T14:00,17.6,32,6.0,8.9,4.8,1.1,124.0,0.7,0.0,0.7,563.0
Lisbon,38.7169,-9.1399,2026-03-18T15:00,17.7,32,6.1,9.4,5.1,1.1,122.0,0.8,0.0,0.8,478.0
Lisbon,38.7169,-9.1399,2026-03-18T16:00,17.3,32,5.6,10.2,6.3,1.1,124.0,1.1,0.0,1.1,395.0
Lisbon,38.7169,-9.1399,2026-03-18T17:00,16.6,31,5.8,9.4,8.3,1.6,126.0,1.4,0.0,1.4,269.0
Lisbon,38.7169,-9.1399,2026-03-18T18:00,16.2,30,6.7,9.1,10.9,1.3,132.0,0.7,0.0,0.7,121.0
Lisbon,38.7169,-9.1399,2026-03-18T19:00,15.9,29,7.9,10.6,11.7,1.5,137.0,0.5,0.0,0.5,10.0
Lisbon,38.7169,-9.1399,2026-03-18T20:00,15.6,28,8.1,10.3,12.6,1.5,143.0,0.0,0.0,0.0,0.0
Lisbon,38.7169,-9.1399,2026-03-18T21:00,15.2,27,8.6,11.2,10.3,1.6,140.0,0.0,0.0,0.0,0.0
Lisbon,38.7169,-9.1399,2026-03-18T22:00,15.0,27,9.4,13.8,8.2,1.5,136.0,0.0,0.0,0.0,0.0
Lisbon,38.7169,-9.1399,2026-03-18T23:00,14.8,27,10.5,18.3,6.2,1.5,132.0,0.0,0.0,0.0,0.0
Lisbon,38.7169,-9.1399,2026-03-19T00:00,14.5,29,10.6,23.4,4.7,1.4,130.0,0.0,0.0,0.0,0.0
Lisbon,38.7169,-9.1399,2026-03-19T01:00,14.7,29,11.7,24.1,4.9,1.8,132.0,0.0,0.0,0.0,0.0
Lisbon,38.7169,-9.1399,2026-03-19T02:00,14.7,29,11.4,26.6,4.1,1.8,130.0,0.0,0.0,0.0,0.0
Lisbon,38.7169,-9.1399,2026-03-19T03:00,14.4,28,12.4,29.3,3.6,1.8,129.0,0.8,0.6,0.3,0.0
Lisbon,38.7169,-9.1399,2026-03-19T04:00,14.0,30,11.7,25.6,3.5,1.6,127.0,2.1,1.7,0.4,0.0
Lisbon,38.7169,-9.1399,2026-03-19T05:00,14.1,30,11.3,22.7,4.2,1.5,129.0,4.0,3.9,0.1,0.0
Lisbon,38.7169,-9.1399,2026-03-19T06:00,13.7,30,10.0,16.2,5.5,1.5,136.0,2.2,1.5,0.7,0.0
Lisbon,38.7169,-9.1399,2026-03-19T07:00,14.2,29,7.0,9.6,8.0,1.8,142.0,0.2,0.2,0.0,1.0
Lisbon,38.7169,-9.1399,2026-03-19T08:00,13.9,27,6.3,8.2,15.0,1.9,148.0,0.2,0.0,0.1,34.0
Lisbon,38.7169,-9.1399,2026-03-19T09:00,14.1,25,4.8,5.3,13.8,1.9,146.0,0.1,0.0,0.1,95.0
Lisbon,38.7169,-9.1399,2026-03-19T10:00,14.5,26,5.1,5.9,15.4,2.0,146.0,0.1,0.0,0.0,133.0
Lisbon,38.7169,-9.1399,2026-03-19T11:00,15.1,25,5.6,7.6,11.4,2.0,147.0,0.1,0.1,0.0,251.0
Lisbon,38.7169,-9.1399,2026-03-19T12:00,15.5,25,6.2,7.1,11.9,1.9,144.0,0.1,0.1,0.0,241.0
Lisbon,38.7169,-9.1399,2026-03-19T13:00,14.8,25,7.0,7.9,13.9,1.7,148.0,0.9,0.8,0.1,167.0
Lisbon,38.7169,-9.1399,2026-03-19T14:00,14.7,26,8.1,9.0,18.0,2.3,151.0,1.2,1.1,0.1,141.0
