city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Seattle,47.6062,-122.3321,2026-03-18T00:00,11.3,19,10.0,12.0,21.5,2.1,263.0,0.0,0.0,0.0,83.2
Seattle,47.6062,-122.3321,2026-03-18T01:00,11.6,17,10.0,11.6,26.4,2.2,272.0,0.0,0.0,0.0,48.2
Seattle,47.6062,-122.3321,2026-03-18T02:00,10.9,16,11.1,12.5,33.0,2.4,277.0,1.2,1.2,0.0,10.2
Seattle,47.6062,-122.3321,2026-03-18T03:00,10.4,19,10.7,11.9,37.1,2.5,285.0,0.7,0.7,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-18T04:00,10.3,18,9.7,10.8,36.3,2.6,304.0,0.3,0.3,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-18T05:00,10.4,16,9.6,10.6,32.9,2.6,325.0,0.4,0.4,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-18T06:00,10.5,15,10.0,10.9,29.5,2.6,330.0,0.0,0.0,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-18T07:00,10.7,16,10.0,10.9,26.9,2.5,307.0,0.1,0.1,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-18T08:00,10.5,17,9.7,10.8,24.2,2.3,268.0,0.1,0.1,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-18T09:00,10.7,18,9.4,10.6,21.8,2.2,231.0,0.0,0.0,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-18T10:00,10.7,19,8.9,10.3,19.4,2.1,200.0,0.0,0.0,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-18T11:00,10.7,20,8.3,9.8,17.2,2.0,171.0,0.2,0.2,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-18T12:00,10.8,20,8.5,9.3,17.9,2.1,156.0,1.0,1.0,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-18T13:00,10.6,21,7.2,8.0,16.8,2.0,163.0,0.0,0.0,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-18T14:00,10.6,22,6.3,7.0,15.4,2.0,184.0,0.0,0.0,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-18T15:00,10.6,23,6.3,6.9,14.4,1.9,202.0,0.4,0.4,0.0,0.5
Seattle,47.6062,-122.3321,2026-03-18T16:00,11.1,22,6.3,6.9,14.6,1.9,213.0,0.0,0.0,0.0,5.8
Seattle,47.6062,-122.3321,2026-03-18T17:00,11.2,21,5.7,6.3,15.3,1.9,222.0,0.0,0.0,0.0,24.0
Seattle,47.6062,-122.3321,2026-03-18T18:00,11.6,20,4.9,5.4,15.3,1.9,226.0,0.0,0.0,0.0,85.8
Seattle,47.6062,-122.3321,2026-03-18T19:00,11.9,21,4.5,4.8,13.7,1.8,223.0,0.0,0.0,0.0,19.8
Seattle,47.6062,-122.3321,2026-03-18T20:00,12.2,22,3.6,3.8,11.5,1.8,215.0,0.0,0.0,0.0,24.8
Seattle,47.6062,-122.3321,2026-03-18T21:00,12.8,23,3.7,3.9,10.2,1.7,209.0,0.0,0.0,0.0,36.8
Seattle,47.6062,-122.3321,2026-03-18T22:00,13.1,23,4.0,4.4,10.5,1.7,211.0,0.0,0.0,0.0,77.0
Seattle,47.6062,-122.3321,2026-03-18T23:00,12.7,23,3.8,4.0,11.6,1.7,215.0,0.1,0.1,0.0,136.8
Seattle,47.6062,-122.3321,2026-03-19T00:00,12.4,21,8.0,8.9,14.8,1.7,214.0,0.0,0.0,0.0,29.2
Seattle,47.6062,-122.3321,2026-03-19T01:00,12.2,21,7.1,7.6,15.3,1.6,203.0,0.0,0.0,0.0,30.5
Seattle,47.6062,-122.3321,2026-03-19T02:00,11.6,20,6.1,6.6,16.0,1.5,186.0,0.0,0.0,0.0,8.2
Seattle,47.6062,-122.3321,2026-03-19T03:00,11.0,20,4.8,5.3,16.3,1.4,174.0,0.0,0.0,0.0,0.2
Seattle,47.6062,-122.3321,2026-03-19T04:00,10.3,21,4.2,4.8,16.1,1.4,171.0,0.6,0.6,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-19T05:00,10.3,21,4.2,4.8,15.6,1.5,172.0,0.1,0.1,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-19T06:00,10.2,22,4.4,5.0,14.9,1.5,170.0,0.1,0.1,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-19T07:00,10.1,22,4.5,5.1,14.0,1.5,161.0,0.0,0.0,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-19T08:00,10.0,23,4.4,4.9,12.9,1.4,149.0,0.1,0.1,0.0,0.0
Seattle,47.6062,-122.3321,2026-03-19T09:00,10.1,24,4.2,4.6,11.9,1.4,140.0,0.3,0.3,0.0,0.0
