city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Seoul,37.5665,126.978,2026-03-18T00:00,3.5,103,102.0,113.4,67.7,95.6,1463.0,0.3,0.3,0.0,128.0
Seoul,37.5665,126.978,2026-03-18T01:00,4.0,104,98.7,109.9,61.8,80.9,1213.0,0.7,0.7,0.0,125.0
Seoul,37.5665,126.978,2026-03-18T02:00,4.5,105,83.1,95.5,53.2,60.3,798.0,0.8,0.8,0.0,115.0
Seoul,37.5665,126.978,2026-03-18T03:00,5.2,106,53.1,68.0,44.2,43.0,481.0,0.1,0.1,0.0,97.0
Seoul,37.5665,126.978,2026-03-18T04:00,5.4,105,38.3,53.4,33.7,32.3,376.0,0.0,0.0,0.0,73.0
Seoul,37.5665,126.978,2026-03-18T05:00,5.5,105,32.4,47.8,22.8,24.8,369.0,0.0,0.0,0.0,66.0
Seoul,37.5665,126.978,2026-03-18T06:00,6.5,104,27.0,43.7,16.8,19.7,387.0,0.0,0.0,0.0,122.0
Seoul,37.5665,126.978,2026-03-18T07:00,7.7,104,23.9,41.2,19.4,17.1,414.0,0.0,0.0,0.0,262.0
Seoul,37.5665,126.978,2026-03-18T08:00,8.2,103,23.9,43.3,27.0,16.9,465.0,0.0,0.0,0.0,301.0
Seoul,37.5665,126.978,2026-03-18T09:00,7.1,102,25.4,43.9,33.9,17.7,514.0,0.0,0.0,0.0,137.0
Seoul,37.5665,126.978,2026-03-18T10:00,5.9,101,30.0,46.4,39.4,20.2,568.0,0.0,0.0,0.0,17.0
Seoul,37.5665,126.978,2026-03-18T11:00,4.7,100,35.7,52.2,44.1,23.7,619.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-18T12:00,3.7,99,47.3,67.1,41.7,23.3,618.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-18T13:00,3.2,97,43.8,62.2,35.2,21.4,519.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-18T14:00,3.3,95,33.9,44.5,26.2,18.6,368.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-18T15:00,2.5,93,23.4,27.4,18.9,16.0,254.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-18T16:00,2.0,90,16.4,17.7,14.7,13.5,219.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-18T17:00,1.4,87,14.0,14.9,12.2,11.1,221.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-18T18:00,0.6,85,13.8,15.0,11.1,9.7,227.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-18T19:00,-0.1,82,14.5,15.9,11.6,9.8,220.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-18T20:00,-0.5,79,15.7,17.3,13.5,11.0,216.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-18T21:00,-1.2,77,17.2,19.0,16.1,12.7,232.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-18T22:00,-1.6,74,20.1,21.9,20.3,15.4,290.0,0.0,0.0,0.0,3.0
Seoul,37.5665,126.978,2026-03-18T23:00,-0.6,72,23.5,24.9,25.2,18.5,368.0,0.0,0.0,0.0,107.0
Seoul,37.5665,126.978,2026-03-19T00:00,1.0,69,26.7,29.9,31.4,22.7,409.0,0.0,0.0,0.0,308.0
Seoul,37.5665,126.978,2026-03-19T01:00,3.1,66,23.2,26.0,25.8,20.0,377.0,0.0,0.0,0.0,509.0
Seoul,37.5665,126.978,2026-03-19T02:00,5.5,64,19.0,25.8,18.1,16.2,309.0,0.0,0.0,0.0,674.0
Seoul,37.5665,126.978,2026-03-19T03:00,7.3,61,16.7,32.1,12.3,13.4,261.0,0.0,0.0,0.0,782.0
Seoul,37.5665,126.978,2026-03-19T04:00,9.1,60,16.8,33.8,9.8,12.2,254.0,0.0,0.0,0.0,826.0
Seoul,37.5665,126.978,2026-03-19T05:00,10.0,57,17.4,33.2,9.1,12.0,267.0,0.0,0.0,0.0,803.0
Seoul,37.5665,126.978,2026-03-19T06:00,10.3,55,18.2,31.4,10.5,12.2,289.0,0.0,0.0,0.0,712.0
Seoul,37.5665,126.978,2026-03-19T07:00,8.7,53,18.7,28.3,14.0,12.7,319.0,0.0,0.0,0.0,547.0
Seoul,37.5665,126.978,2026-03-19T08:00,7.3,53,19.2,24.3,19.5,13.6,357.0,0.0,0.0,0.0,362.0
Seoul,37.5665,126.978,2026-03-19T09:00,6.1,52,21.2,23.5,26.6,15.6,395.0,0.0,0.0,0.0,169.0
Seoul,37.5665,126.978,2026-03-19T10:00,4.8,51,23.5,25.5,36.9,19.6,431.0,0.0,0.0,0.0,21.0
Seoul,37.5665,126.978,2026-03-19T11:00,4.0,50,24.4,27.6,48.8,24.6,466.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-19T12:00,3.2,48,20.7,23.1,57.7,28.1,494.0,0.0,0.0,0.0,0.0
Seoul,37.5665,126.978,2026-03-19T13:00,2.4,44,20.0,23.6,54.7,27.2,516.0,0.0,0.0,0.0,0.0
