city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Washington_DC,38.9072,-77.0369,2026-03-18T00:00,1.7,37,13.0,14.6,11.1,4.6,237.0,0.0,0.0,0.0,1.5
Washington_DC,38.9072,-77.0369,2026-03-18T01:00,0.6,37,11.8,12.7,10.6,4.6,235.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-18T02:00,-0.4,37,11.9,12.7,10.0,4.5,226.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-18T03:00,-1.0,36,12.3,13.0,9.8,4.5,221.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-18T04:00,-1.3,34,12.7,13.5,10.5,4.6,227.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-18T05:00,-1.8,32,13.2,13.8,11.6,4.7,237.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-18T06:00,-2.2,30,13.7,14.2,12.3,4.9,244.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-18T07:00,-2.4,29,14.1,14.6,12.0,5.1,244.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-18T08:00,-2.5,28,14.2,14.7,11.2,5.2,242.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-18T09:00,-2.7,27,13.9,14.4,11.3,5.5,244.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-18T10:00,-2.5,26,13.6,14.1,13.4,5.9,255.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-18T11:00,-2.5,25,13.6,14.1,16.4,6.4,271.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-18T12:00,-2.2,25,14.3,14.7,17.5,7.1,280.0,0.0,0.0,0.0,5.8
Washington_DC,38.9072,-77.0369,2026-03-18T13:00,-1.9,27,14.6,15.2,14.8,7.3,278.0,0.0,0.0,0.0,68.5
Washington_DC,38.9072,-77.0369,2026-03-18T14:00,-1.1,30,12.4,13.2,11.1,7.6,271.0,0.0,0.0,0.0,200.2
Washington_DC,38.9072,-77.0369,2026-03-18T15:00,0.4,32,10.8,11.6,8.2,7.6,263.0,0.0,0.0,0.0,505.5
Washington_DC,38.9072,-77.0369,2026-03-18T16:00,1.6,33,10.4,11.2,7.0,7.2,258.0,0.0,0.0,0.0,721.8
Washington_DC,38.9072,-77.0369,2026-03-18T17:00,3.0,34,9.6,10.3,6.7,6.5,253.0,0.0,0.0,0.0,802.2
Washington_DC,38.9072,-77.0369,2026-03-18T18:00,4.3,35,9.0,9.6,6.5,5.9,247.0,0.0,0.0,0.0,823.0
Washington_DC,38.9072,-77.0369,2026-03-18T19:00,5.1,37,8.6,9.2,4.8,5.3,235.0,0.0,0.0,0.0,767.2
Washington_DC,38.9072,-77.0369,2026-03-18T20:00,5.4,38,8.1,8.6,3.2,4.8,223.0,0.0,0.0,0.0,661.8
Washington_DC,38.9072,-77.0369,2026-03-18T21:00,5.5,37,7.5,8.0,6.6,4.4,228.0,0.0,0.0,0.0,506.0
Washington_DC,38.9072,-77.0369,2026-03-18T22:00,5.0,30,7.5,8.0,20.3,4.4,271.0,0.0,0.0,0.0,307.8
Washington_DC,38.9072,-77.0369,2026-03-18T23:00,3.9,23,9.3,9.8,38.9,4.7,332.0,0.0,0.0,0.0,103.8
Washington_DC,38.9072,-77.0369,2026-03-19T00:00,2.6,23,12.2,12.3,42.3,4.6,368.0,0.0,0.0,0.0,1.8
Washington_DC,38.9072,-77.0369,2026-03-19T01:00,1.6,23,12.3,12.4,38.3,4.5,355.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-19T02:00,1.5,23,12.1,12.2,32.6,4.4,316.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-19T03:00,1.4,23,12.0,12.1,26.9,4.2,285.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-19T04:00,1.5,25,11.6,11.8,21.1,3.9,274.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-19T05:00,1.9,27,10.9,11.0,15.3,3.5,269.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-19T06:00,1.7,29,10.2,10.4,10.9,3.2,263.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-19T07:00,1.7,30,9.9,10.0,8.1,3.1,249.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-19T08:00,1.3,30,9.7,9.8,6.6,3.0,232.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-19T09:00,1.1,29,9.6,9.7,7.4,3.1,226.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-19T10:00,1.3,26,9.9,10.0,12.3,3.3,238.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-19T11:00,1.6,21,10.7,10.9,19.5,3.7,260.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-19T12:00,2.2,26,11.0,11.3,15.1,3.1,276.0,0.0,0.0,0.0,31.8
Washington_DC,38.9072,-77.0369,2026-03-19T13:00,3.3,27,11.5,11.8,14.0,3.7,280.0,0.0,0.0,0.0,131.0
Washington_DC,38.9072,-77.0369,2026-03-19T14:00,4.6,29,11.2,11.5,12.4,4.4,279.0,0.0,0.0,0.0,251.2
Washington_DC,38.9072,-77.0369,2026-03-19T15:00,6.3,31,10.7,10.9,10.9,5.1,273.0,0.0,0.0,0.0,421.0
Washington_DC,38.9072,-77.0369,2026-03-19T16:00,8.4,34,10.2,10.5,9.5,5.6,260.0,0.0,0.0,0.0,542.5
Washington_DC,38.9072,-77.0369,2026-03-19T17:00,10.2,37,10.5,11.1,8.0,5.9,242.0,0.0,0.0,0.0,747.2
Washington_DC,38.9072,-77.0369,2026-03-19T18:00,12.0,39,11.0,11.8,6.9,5.9,228.0,0.0,0.0,0.0,680.8
Washington_DC,38.9072,-77.0369,2026-03-19T19:00,13.5,41,9.9,10.8,3.9,5.3,208.0,0.0,0.0,0.0,730.2
Washington_DC,38.9072,-77.0369,2026-03-19T20:00,13.5,43,8.3,9.1,1.1,4.4,192.0,0.0,0.0,0.0,643.8
Washington_DC,38.9072,-77.0369,2026-03-19T21:00,14.5,40,8.0,8.8,5.6,3.9,212.0,0.0,0.0,0.0,493.8
Washington_DC,38.9072,-77.0369,2026-03-19T22:00,14.1,30,8.8,9.5,25.4,4.2,313.0,0.0,0.0,0.0,299.8
Washington_DC,38.9072,-77.0369,2026-03-19T23:00,12.6,25,16.1,16.7,52.5,4.8,450.0,0.0,0.0,0.0,102.2
Washington_DC,38.9072,-77.0369,2026-03-20T00:00,10.8,27,12.3,12.3,57.4,5.8,523.0,0.0,0.0,0.0,2.0
Washington_DC,38.9072,-77.0369,2026-03-20T01:00,9.4,23,9.8,9.9,48.7,5.4,469.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-20T02:00,8.5,21,8.6,8.7,36.6,4.8,351.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-20T03:00,7.3,24,8.0,8.1,26.7,4.3,260.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-20T04:00,6.9,25,7.9,8.1,21.3,4.1,234.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-20T05:00,6.2,25,7.9,8.0,18.2,4.2,234.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-20T06:00,5.7,24,8.2,8.2,16.0,4.2,236.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-20T07:00,5.0,24,8.6,8.7,14.5,4.3,230.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-20T08:00,5.0,23,9.2,9.3,14.0,4.4,225.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-20T09:00,4.6,22,9.8,9.9,14.4,4.5,227.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-20T10:00,4.4,20,10.4,10.5,16.2,4.5,241.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-20T11:00,3.6,20,10.9,11.0,18.9,4.4,262.0,0.0,0.0,0.0,0.0
Washington_DC,38.9072,-77.0369,2026-03-20T12:00,4.4,20,9.7,9.7,18.3,3.9,279.0,0.0,0.0,0.0,33.8
Washington_DC,38.9072,-77.0369,2026-03-20T13:00,6.3,21,11.4,11.4,17.1,4.4,289.0,0.0,0.0,0.0,202.0
Washington_DC,38.9072,-77.0369,2026-03-20T14:00,9.4,24,11.2,11.4,15.3,5.2,294.0,0.0,0.0,0.0,401.5
Washington_DC,38.9072,-77.0369,2026-03-20T15:00,11.9,28,11.1,11.5,13.1,5.5,291.0,0.0,0.0,0.0,584.2
Washington_DC,38.9072,-77.0369,2026-03-20T16:00,14.9,34,10.8,11.3,10.1,5.0,274.0,0.0,0.0,0.0,719.2
Washington_DC,38.9072,-77.0369,2026-03-20T17:00,18.0,43,11.5,12.2,6.8,4.2,250.0,0.0,0.0,0.0,802.2
Washington_DC,38.9072,-77.0369,2026-03-20T18:00,20.0,52,10.9,11.6,4.6,3.6,230.0,0.0,0.0,0.0,818.0
